Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_AUROC,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUROC
LogisticRegression,0.8722222222222221,0.7318831168831169,0.7777777777777777,0.7464440513047325,0.9465020576131687,0.8722222222222222,0.7291666666666666,0.7777777777777778,0.7526881720430108,0.9435390946502058
RandomForest,0.9222222222222222,0.9466666666666667,0.7333333333333334,0.8156641604010026,0.9600823045267489,0.9222222222222223,0.9428571428571428,0.7333333333333333,0.8250000000000001,0.9650205761316872
