Fraction,Samples,Model,CV_Accuracy,CV_F1,CV_AUROC
0.3,54,LogisticRegression,0.8327272727272728,0.5833333333333333,0.9125
0.3,54,RandomForest,0.9454545454545455,0.8933333333333333,0.9916666666666668
0.5,90,LogisticRegression,0.8777777777777779,0.7742857142857144,0.9724175824175824
0.5,90,RandomForest,0.9111111111111111,0.7944444444444444,0.9729120879120879
0.7,125,LogisticRegression,0.8480000000000001,0.7263509039979628,0.9543024227234754
0.7,125,RandomForest,0.9039999999999999,0.7654545454545453,0.953091060985798
1.0,180,LogisticRegression,0.888888888888889,0.7751537935748463,0.9473251028806585
1.0,180,RandomForest,0.9166666666666666,0.8041353383458647,0.9679012345679012
